,temp,step_check,persis
2022-06-01 0:01,18.6,,
2022-06-01 0:02,18.6,0,0
2022-06-01 0:03,18.6,0,0
2022-06-01 0:04,18.6,0,0
2022-06-01 0:05,18.6,0,0
2022-06-01 0:06,18.6,0,0
2022-06-01 0:07,18.6,0,0
2022-06-01 0:08,18.5,-0.1,0.1
2022-06-01 0:09,18.5,0,0
2022-06-01 0:10,18.5,0,0
2022-06-01 0:11,18.5,0,0
2022-06-01 0:12,18.5,0,0
2022-06-01 0:13,18.5,0,0
2022-06-01 0:14,18.5,0,0
2022-06-01 0:15,18.5,0,0
2022-06-01 0:16,18.5,0,0
2022-06-01 0:17,18.5,0,0
2022-06-01 0:18,18.5,0,0
2022-06-01 0:19,18.5,0,0
2022-06-01 0:20,18.4,-0.1,0.1
2022-06-01 0:21,18.4,0,0
2022-06-01 0:22,18.4,0,0
2022-06-01 0:23,18.4,0,0
2022-06-01 0:24,18.4,0,0
2022-06-01 0:25,18.4,0,0
2022-06-01 0:26,18.4,0,0
2022-06-01 0:27,18.4,0,0
2022-06-01 0:28,18.4,0,0
2022-06-01 0:29,18.4,0,0
2022-06-01 0:30,18.4,0,0
2022-06-01 0:31,18.4,0,0
2022-06-01 0:32,18.4,0,0
2022-06-01 0:33,18.4,0,0
2022-06-01 0:34,18.4,0,0
2022-06-01 0:35,18.4,0,0
2022-06-01 0:36,18.3,-0.1,0.1
2022-06-01 0:37,18.3,0,0
2022-06-01 0:38,18.3,0,0
2022-06-01 0:39,18.3,0,0
2022-06-01 0:40,18.3,0,0
2022-06-01 0:41,18.3,0,0
2022-06-01 0:42,18.3,0,0
2022-06-01 0:43,18.2,-0.1,0.1
2022-06-01 0:44,18.2,0,0
2022-06-01 0:45,18.2,0,0
2022-06-01 0:46,18.1,-0.1,0.1
2022-06-01 0:47,18.1,0,0
2022-06-01 0:48,18.1,0,0
2022-06-01 0:49,18.1,0,0
2022-06-01 0:50,18.1,0,0
2022-06-01 0:51,18.1,0,0
2022-06-01 0:52,18.1,0,0
2022-06-01 0:53,18.1,0,0
2022-06-01 0:54,18.1,0,0
2022-06-01 0:55,18.1,0,0
2022-06-01 0:56,18.1,0,0
2022-06-01 0:57,18.1,0,0
2022-06-01 0:58,18,-0.1,0.1
2022-06-01 0:59,18,0,0
2022-06-01 1:00,18,0,0
2022-06-01 1:01,18,0,0
2022-06-01 1:02,18,0,0
2022-06-01 1:03,18,0,0
2022-06-01 1:04,18,0,0
2022-06-01 1:05,18,0,0
2022-06-01 1:06,18,0,0
2022-06-01 1:07,18,0,0
2022-06-01 1:08,18,0,0
2022-06-01 1:09,18,0,0
2022-06-01 1:10,18,0,0
2022-06-01 1:11,18,0,0
2022-06-01 1:12,18,0,0
2022-06-01 1:13,18,0,0
2022-06-01 1:14,18,0,0
2022-06-01 1:15,17.9,-0.1,0.1
2022-06-01 1:16,17.9,0,0
2022-06-01 1:17,17.9,0,0
2022-06-01 1:18,17.9,0,0
2022-06-01 1:19,17.9,0,0
2022-06-01 1:20,17.9,0,0
2022-06-01 1:21,17.9,0,0
2022-06-01 1:22,17.9,0,0
2022-06-01 1:23,17.9,0,0
2022-06-01 1:24,17.9,0,0
2022-06-01 1:25,17.9,0,0
2022-06-01 1:26,17.9,0,0
2022-06-01 1:27,17.8,-0.1,0.1
2022-06-01 1:28,17.8,0,0
2022-06-01 1:29,17.8,0,0
2022-06-01 1:30,17.8,0,0
2022-06-01 1:31,17.8,0,0
2022-06-01 1:32,17.8,0,0
2022-06-01 1:33,17.8,0,0
2022-06-01 1:34,17.8,0,0
2022-06-01 1:35,17.8,0,0
2022-06-01 1:36,17.8,0,0
2022-06-01 1:37,17.8,0,0
2022-06-01 1:38,17.9,0.1,0.1
2022-06-01 1:39,17.9,0,0
2022-06-01 1:40,17.9,0,0
2022-06-01 1:41,17.9,0,0
2022-06-01 1:42,17.9,0,0
2022-06-01 1:43,17.9,0,0
2022-06-01 1:44,17.9,0,0
2022-06-01 1:45,17.9,0,0
2022-06-01 1:46,18,0.1,0.1
2022-06-01 1:47,18,0,0
2022-06-01 1:48,18,0,0
2022-06-01 1:49,18,0,0
2022-06-01 1:50,17.9,-0.1,0.1
2022-06-01 1:51,17.9,0,0
2022-06-01 1:52,17.9,0,0
2022-06-01 1:53,17.9,0,0
2022-06-01 1:54,17.9,0,0
2022-06-01 1:55,17.8,-0.1,0.1
2022-06-01 1:56,17.8,0,0
2022-06-01 1:57,17.8,0,0
2022-06-01 1:58,17.7,-0.1,0.1
2022-06-01 1:59,17.7,0,0
2022-06-01 2:00,17.7,0,0
2022-06-01 2:01,17.7,0,0
2022-06-01 2:02,17.6,-0.1,0.1
2022-06-01 2:03,17.6,0,0
2022-06-01 2:04,17.6,0,0
2022-06-01 2:05,17.6,0,0
2022-06-01 2:06,17.6,0,0
2022-06-01 2:07,17.6,0,0
2022-06-01 2:08,17.6,0,0
2022-06-01 2:09,17.6,0,0
2022-06-01 2:10,17.5,-0.1,0.1
2022-06-01 2:11,17.5,0,0
2022-06-01 2:12,17.5,0,0
2022-06-01 2:13,17.4,-0.1,0.1
2022-06-01 2:14,17.4,0,0
2022-06-01 2:15,17.4,0,0
2022-06-01 2:16,17.3,-0.1,0.1
2022-06-01 2:17,17.3,0,0
2022-06-01 2:18,17.3,0,0
2022-06-01 2:19,17.3,0,0
2022-06-01 2:20,17.2,-0.1,0.1
2022-06-01 2:21,17.2,0,0
2022-06-01 2:22,17.2,0,0
2022-06-01 2:23,17.2,0,0
2022-06-01 2:24,17.2,0,0
2022-06-01 2:25,17.2,0,0
2022-06-01 2:26,17.1,-0.1,0.1
2022-06-01 2:27,17.1,0,0
2022-06-01 2:28,17.1,0,0
2022-06-01 2:29,17.1,0,0
2022-06-01 2:30,17.1,0,0
2022-06-01 2:31,17.1,0,0
2022-06-01 2:32,17.1,0,0
2022-06-01 2:33,17,-0.1,0.1
2022-06-01 2:34,17,0,0
2022-06-01 2:35,17,0,0
2022-06-01 2:36,17,0,0
2022-06-01 2:37,17.1,0.1,0.1
2022-06-01 2:38,17.1,0,0
2022-06-01 2:39,17,-0.1,0.1
2022-06-01 2:40,17,0,0
2022-06-01 2:41,17,0,0
2022-06-01 2:42,17,0,0
2022-06-01 2:43,17,0,0
2022-06-01 2:44,16.9,-0.1,0.1
2022-06-01 2:45,16.9,0,0
2022-06-01 2:46,16.9,0,0
2022-06-01 2:47,16.9,0,0
2022-06-01 2:48,16.8,-0.1,0.1
2022-06-01 2:49,16.8,0,0
2022-06-01 2:50,16.8,0,0
2022-06-01 2:51,16.8,0,0
2022-06-01 2:52,16.8,0,0
2022-06-01 2:53,16.8,0,0
2022-06-01 2:54,16.7,-0.1,0.1
2022-06-01 2:55,16.7,0,0
2022-06-01 2:56,16.7,0,0
2022-06-01 2:57,16.8,0.1,0.1
2022-06-01 2:58,16.7,-0.1,0.1
2022-06-01 2:59,16.7,0,0
2022-06-01 3:00,16.7,0,0
2022-06-01 3:01,16.8,0.1,0.1
2022-06-01 3:02,16.8,0,0
2022-06-01 3:03,16.8,0,0
2022-06-01 3:04,16.8,0,0
2022-06-01 3:05,16.8,0,0
2022-06-01 3:06,16.8,0,0
2022-06-01 3:07,16.8,0,0
2022-06-01 3:08,16.7,-0.1,0.1
2022-06-01 3:09,16.7,0,0
2022-06-01 3:10,16.7,0,0
2022-06-01 3:11,16.7,0,0
2022-06-01 3:12,16.7,0,0
2022-06-01 3:13,16.7,0,0
2022-06-01 3:14,16.7,0,0
2022-06-01 3:15,16.7,0,0
2022-06-01 3:16,16.7,0,0
2022-06-01 3:17,16.7,0,0
2022-06-01 3:18,16.7,0,0
2022-06-01 3:19,16.7,0,0
2022-06-01 3:20,16.7,0,0
2022-06-01 3:21,16.7,0,0
2022-06-01 3:22,16.7,0,0
2022-06-01 3:23,16.7,0,0
2022-06-01 3:24,16.7,0,0
2022-06-01 3:25,16.8,0.1,0.1
2022-06-01 3:26,16.8,0,0
2022-06-01 3:27,16.8,0,0
2022-06-01 3:28,16.8,0,0
2022-06-01 3:29,16.8,0,0
2022-06-01 3:30,16.9,0.1,0.1
2022-06-01 3:31,17,0.1,0.1
2022-06-01 3:32,17.2,0.2,0.2
2022-06-01 3:33,17.4,0.2,0.2
2022-06-01 3:34,17.5,0.1,0.1
2022-06-01 3:35,17.6,0.1,0.1
2022-06-01 3:36,17.7,0.1,0.1
2022-06-01 3:37,17.7,0,0
2022-06-01 3:38,17.7,0,0
2022-06-01 3:39,17.7,0,0
2022-06-01 3:40,17.8,0.1,0.1
2022-06-01 3:41,17.8,0,0
2022-06-01 3:42,17.8,0,0
2022-06-01 3:43,17.8,0,0
2022-06-01 3:44,17.9,0.1,0.1
2022-06-01 3:45,17.9,0,0
2022-06-01 3:46,18,0.1,0.1
2022-06-01 3:47,18.1,0.1,0.1
2022-06-01 3:48,18.2,0.1,0.1
2022-06-01 3:49,18.3,0.1,0.1
2022-06-01 3:50,18.4,0.1,0.1
2022-06-01 3:51,18.4,0,0
2022-06-01 3:52,18.5,0.1,0.1
2022-06-01 3:53,18.5,0,0
2022-06-01 3:54,18.4,-0.1,0.1
2022-06-01 3:55,18.4,0,0
2022-06-01 3:56,18.4,0,0
2022-06-01 3:57,18.4,0,0
2022-06-01 3:58,18.4,0,0
2022-06-01 3:59,18.4,0,0
2022-06-01 4:00,18.4,0,0
2022-06-01 4:01,18.5,0.1,0.1
2022-06-01 4:02,18.5,0,0
2022-06-01 4:03,18.5,0,0
2022-06-01 4:04,18.5,0,0
2022-06-01 4:05,18.5,0,0
2022-06-01 4:06,18.4,-0.1,0.1
2022-06-01 4:07,18.4,0,0
2022-06-01 4:08,18.4,0,0
2022-06-01 4:09,18.4,0,0
2022-06-01 4:10,18.3,-0.1,0.1
2022-06-01 4:11,18.3,0,0
2022-06-01 4:12,18.3,0,0
2022-06-01 4:13,18.2,-0.1,0.1
2022-06-01 4:14,18.2,0,0
2022-06-01 4:15,18.2,0,0
2022-06-01 4:16,18.2,0,0
2022-06-01 4:17,18.2,0,0
2022-06-01 4:18,18.2,0,0
2022-06-01 4:19,18.1,-0.1,0.1
2022-06-01 4:20,18.1,0,0
2022-06-01 4:21,18.1,0,0
2022-06-01 4:22,18,-0.1,0.1
2022-06-01 4:23,18,0,0
2022-06-01 4:24,18,0,0
2022-06-01 4:25,18,0,0
2022-06-01 4:26,18,0,0
2022-06-01 4:27,17.9,-0.1,0.1
2022-06-01 4:28,17.9,0,0
2022-06-01 4:29,17.9,0,0
2022-06-01 4:30,17.9,0,0
2022-06-01 4:31,17.9,0,0
2022-06-01 4:32,17.8,-0.1,0.1
2022-06-01 4:33,17.8,0,0
2022-06-01 4:34,17.8,0,0
2022-06-01 4:35,17.8,0,0
2022-06-01 4:36,17.8,0,0
2022-06-01 4:37,17.8,0,0
2022-06-01 4:38,17.8,0,0
2022-06-01 4:39,17.8,0,0
2022-06-01 4:40,17.8,0,0
2022-06-01 4:41,17.7,-0.1,0.1
2022-06-01 4:42,17.7,0,0
2022-06-01 4:43,17.7,0,0
2022-06-01 4:44,17.6,-0.1,0.1
2022-06-01 4:45,17.6,0,0
2022-06-01 4:46,17.6,0,0
2022-06-01 4:47,17.6,0,0
2022-06-01 4:48,17.6,0,0
2022-06-01 4:49,17.5,-0.1,0.1
2022-06-01 4:50,17.5,0,0
2022-06-01 4:51,17.5,0,0
2022-06-01 4:52,17.5,0,0
2022-06-01 4:53,17.4,-0.1,0.1
2022-06-01 4:54,17.4,0,0
2022-06-01 4:55,17.4,0,0
2022-06-01 4:56,17.3,-0.1,0.1
2022-06-01 4:57,17.3,0,0
2022-06-01 4:58,17.3,0,0
2022-06-01 4:59,17.2,-0.1,0.1
2022-06-01 5:00,17.2,0,0
2022-06-01 5:01,17.2,0,0
2022-06-01 5:02,17.1,-0.1,0.1
2022-06-01 5:03,17.1,0,0
2022-06-01 5:04,17.1,0,0
2022-06-01 5:05,17.1,0,0
2022-06-01 5:06,17,-0.1,0.1
2022-06-01 5:07,17,0,0
2022-06-01 5:08,17,0,0
2022-06-01 5:09,17,0,0
2022-06-01 5:10,17,0,0
2022-06-01 5:11,16.9,-0.1,0.1
2022-06-01 5:12,16.9,0,0
2022-06-01 5:13,16.9,0,0
2022-06-01 5:14,16.8,-0.1,0.1
2022-06-01 5:15,16.8,0,0
2022-06-01 5:16,16.8,0,0
2022-06-01 5:17,16.8,0,0
2022-06-01 5:18,16.7,-0.1,0.1
2022-06-01 5:19,16.7,0,0
2022-06-01 5:20,16.7,0,0
2022-06-01 5:21,16.6,-0.1,0.1
2022-06-01 5:22,16.6,0,0
2022-06-01 5:23,16.6,0,0
2022-06-01 5:24,16.6,0,0
2022-06-01 5:25,16.6,0,0
2022-06-01 5:26,16.6,0,0
2022-06-01 5:27,16.6,0,0
2022-06-01 5:28,16.5,-0.1,0.1
2022-06-01 5:29,16.5,0,0
2022-06-01 5:30,16.5,0,0
2022-06-01 5:31,16.5,0,0
2022-06-01 5:32,16.5,0,0
2022-06-01 5:33,16.4,-0.1,0.1
2022-06-01 5:34,16.4,0,0
2022-06-01 5:35,16.4,0,0
2022-06-01 5:36,16.5,0.1,0.1
2022-06-01 5:37,16.5,0,0
2022-06-01 5:38,16.5,0,0
2022-06-01 5:39,16.4,-0.1,0.1
2022-06-01 5:40,16.4,0,0
2022-06-01 5:41,16.4,0,0
2022-06-01 5:42,16.4,0,0
2022-06-01 5:43,16.3,-0.1,0.1
2022-06-01 5:44,16.3,0,0
2022-06-01 5:45,16.3,0,0
2022-06-01 5:46,16.3,0,0
2022-06-01 5:47,16.2,-0.1,0.1
2022-06-01 5:48,16.2,0,0
2022-06-01 5:49,16.2,0,0
2022-06-01 5:50,16.2,0,0
2022-06-01 5:51,16.2,0,0
2022-06-01 5:52,16.2,0,0
2022-06-01 5:53,16.2,0,0
2022-06-01 5:54,16.2,0,0
2022-06-01 5:55,16.2,0,0
2022-06-01 5:56,16.2,0,0
2022-06-01 5:57,16.2,0,0
2022-06-01 5:58,16.3,0.1,0.1
2022-06-01 5:59,16.3,0,0
2022-06-01 6:00,16.3,0,0
2022-06-01 6:01,16.3,0,0
2022-06-01 6:02,16.3,0,0
2022-06-01 6:03,16.3,0,0
2022-06-01 6:04,16.3,0,0
2022-06-01 6:05,16.3,0,0
2022-06-01 6:06,16.3,0,0
2022-06-01 6:07,16.3,0,0
2022-06-01 6:08,16.3,0,0
2022-06-01 6:09,16.3,0,0
2022-06-01 6:10,16.3,0,0
2022-06-01 6:11,16.3,0,0
2022-06-01 6:12,16.3,0,0
2022-06-01 6:13,16.3,0,0
2022-06-01 6:14,16.3,0,0
2022-06-01 6:15,16.3,0,0
2022-06-01 6:16,16.3,0,0
2022-06-01 6:17,16.3,0,0
2022-06-01 6:18,16.3,0,0
2022-06-01 6:19,16.3,0,0
2022-06-01 6:20,16.3,0,0
2022-06-01 6:21,16.3,0,0
2022-06-01 6:22,16.3,0,0
2022-06-01 6:23,16.2,-0.1,0.1
2022-06-01 6:24,16.2,0,0
2022-06-01 6:25,16.2,0,0
2022-06-01 6:26,16.2,0,0
2022-06-01 6:27,16.2,0,0
2022-06-01 6:28,16.2,0,0
2022-06-01 6:29,16.2,0,0
2022-06-01 6:30,16.3,0.1,0.1
2022-06-01 6:31,16.4,0.1,0.1
2022-06-01 6:32,16.4,0,0
2022-06-01 6:33,16.5,0.1,0.1
2022-06-01 6:34,16.5,0,0
2022-06-01 6:35,16.5,0,0
2022-06-01 6:36,16.6,0.1,0.1
2022-06-01 6:37,16.6,0,0
2022-06-01 6:38,16.6,0,0
2022-06-01 6:39,16.6,0,0
2022-06-01 6:40,16.7,0.1,0.1
2022-06-01 6:41,16.7,0,0
2022-06-01 6:42,16.7,0,0
2022-06-01 6:43,16.7,0,0
2022-06-01 6:44,16.7,0,0
2022-06-01 6:45,16.8,0.1,0.1
2022-06-01 6:46,16.9,0.1,0.1
2022-06-01 6:47,16.9,0,0
2022-06-01 6:48,17,0.1,0.1
2022-06-01 6:49,17,0,0
2022-06-01 6:50,17.1,0.1,0.1
2022-06-01 6:51,17.1,0,0
2022-06-01 6:52,17.1,0,0
2022-06-01 6:53,17.1,0,0
2022-06-01 6:54,17.2,0.1,0.1
2022-06-01 6:55,17.2,0,0
2022-06-01 6:56,17.2,0,0
2022-06-01 6:57,17.3,0.1,0.1
2022-06-01 6:58,17.3,0,0
2022-06-01 6:59,17.4,0.1,0.1
2022-06-01 7:00,17.4,0,0
2022-06-01 7:01,17.4,0,0
2022-06-01 7:02,17.5,0.1,0.1
2022-06-01 7:03,17.6,0.1,0.1
2022-06-01 7:04,17.6,0,0
2022-06-01 7:05,17.7,0.1,0.1
2022-06-01 7:06,17.7,0,0
2022-06-01 7:07,17.8,0.1,0.1
2022-06-01 7:08,17.8,0,0
2022-06-01 7:09,17.9,0.1,0.1
2022-06-01 7:10,17.9,0,0
2022-06-01 7:11,18,0.1,0.1
2022-06-01 7:12,18,0,0
2022-06-01 7:13,18,0,0
2022-06-01 7:14,18.1,0.1,0.1
2022-06-01 7:15,18.1,0,0
2022-06-01 7:16,18.2,0.1,0.1
2022-06-01 7:17,18.3,0.1,0.1
2022-06-01 7:18,18.4,0.1,0.1
2022-06-01 7:19,18.4,0,0
2022-06-01 7:20,18.4,0,0
2022-06-01 7:21,18.5,0.1,0.1
2022-06-01 7:22,18.5,0,0
2022-06-01 7:23,18.6,0.1,0.1
2022-06-01 7:24,18.7,0.1,0.1
2022-06-01 7:25,18.8,0.1,0.1
2022-06-01 7:26,18.9,0.1,0.1
2022-06-01 7:27,19,0.1,0.1
2022-06-01 7:28,19,0,0
2022-06-01 7:29,19.1,0.1,0.1
2022-06-01 7:30,19.2,0.1,0.1
2022-06-01 7:31,19.3,0.1,0.1
2022-06-01 7:32,19.4,0.1,0.1
2022-06-01 7:33,19.5,0.1,0.1
2022-06-01 7:34,19.5,0,0
2022-06-01 7:35,19.6,0.1,0.1
2022-06-01 7:36,19.6,0,0
2022-06-01 7:37,19.7,0.1,0.1
2022-06-01 7:38,19.7,0,0
2022-06-01 7:39,19.7,0,0
2022-06-01 7:40,19.8,0.1,0.1
2022-06-01 7:41,19.8,0,0
2022-06-01 7:42,19.9,0.1,0.1
2022-06-01 7:43,19.9,0,0
2022-06-01 7:44,19.9,0,0
2022-06-01 7:45,19.9,0,0
2022-06-01 7:46,19.9,0,0
2022-06-01 7:47,20,0.1,0.1
2022-06-01 7:48,20,0,0
2022-06-01 7:49,20,0,0
2022-06-01 7:50,20,0,0
2022-06-01 7:51,20.1,0.1,0.1
2022-06-01 7:52,20.2,0.1,0.1
2022-06-01 7:53,20.3,0.1,0.1
2022-06-01 7:54,20.4,0.1,0.1
2022-06-01 7:55,20.4,0,0
2022-06-01 7:56,20.5,0.1,0.1
2022-06-01 7:57,20.5,0,0
2022-06-01 7:58,20.6,0.1,0.1
2022-06-01 7:59,20.6,0,0
2022-06-01 8:00,20.6,0,0
2022-06-01 8:01,20.6,0,0
2022-06-01 8:02,20.5,-0.1,0.1
2022-06-01 8:03,20.6,0.1,0.1
2022-06-01 8:04,20.7,0.1,0.1
2022-06-01 8:05,20.9,0.2,0.2
2022-06-01 8:06,20.9,0,0
2022-06-01 8:07,21,0.1,0.1
2022-06-01 8:08,20.9,-0.1,0.1
2022-06-01 8:09,20.9,0,0
2022-06-01 8:10,20.9,0,0
2022-06-01 8:11,20.9,0,0
2022-06-01 8:12,20.9,0,0
2022-06-01 8:13,20.9,0,0
2022-06-01 8:14,21,0.1,0.1
2022-06-01 8:15,21.1,0.1,0.1
2022-06-01 8:16,21.2,0.1,0.1
